"Actinobacteria","Acidobacteriae","Anaerolineae","Gemmatimonadetes","Alphaproteobacteria","Vicinamibacteria","Nitrospiria","Gammaproteobacteria","Polyangia","Bacteroidia","Bacilli","Clostridia","Acidimicrobiia","Verrucomicrobiae","Thermoleophilia","Chloroflexia","Myxococcia","TK10","KD4.96","Saccharimonadia","Bdellovibrionia","Planctomycetes","Ktedonobacteria","Blastocatellia","Oligoflexia","Holophagae","JG30.KF.CM66","OLB14","Parcubacteria","Methylomirabilia","Microgenomatia","Cyanobacteriia","MB.A2.108","Babeliae","Thermoanaerobaculia","Chlamydiae","Dehalococcoidia","Gitt.GS.136","Phycisphaerae","Vampirivibrionia","Elusimicrobia","Fibrobacteria","Kapabacteria","SHA.26","P2.11E","Sericytochromatia","Chthonomonadetes","bacteriap25","Dojkabacteria","AD3","Longimicrobia","Lineage.IIa","S0134.terrestrial.group","Subgroup.25","Subgroup.5","Fimbriimonadia","Gracilibacteria","Ignavibacteria","Lineage.IIb","OM190","Negativicutes","Subgroup.22","WWE3","BD2.11.terrestrial.group","Deinococci","Latescibacteria","Desulfuromonadia","BD7.11","Desulfitobacteriia","Subgroup.11","Kryptonia","Sumerlaeia","Pla4.lineage","Berkelbacteria","ABY1","Armatimonadia","Spirochaetia","AKAU4049","Omnitrophia","Limnochordia","Abditibacteria","Syntrophobacteria","Nanoarchaeia","Rhodothermia","Symbiobacteriia","Entotheonellia","Desulfobulbia","Thermodesulfovibrionia","Desulfobaccia","Kazania","Hydrogenedentia","Desulfobacteria","Coriobacteriia","Subgroup.18","vadinHA49","Thermoplasmata","Aminicenantia","AT.s3.28","Syntrophia","response"
7.25981961036319,6.17586727010576,7.78572089653462,6.34035930372775,8.12058871174027,7.34471905414967,5.5683445037611,7.6226639513236,6.59030104819669,7.61035761831284,5.98141421125448,5.68357976733868,7.18462915271731,6.51174532964473,7.04490511712937,5.63478960316925,4.77912349311153,4.34380542185368,6.93828448401696,4.53259949315326,4.0943445622221,2.19722457733622,2.63905732961526,4.85981240436167,3.25809653802148,5.0998664278242,4.06044301054642,3.49650756146648,5.26269018890489,5.44241771052179,3.76120011569356,5.32300997913841,6.36475075685191,2.77258872223978,4.04305126783455,3.80666248977032,5.15329159449778,6.49828214947643,4.20469261939097,1.79175946922805,2.30258509299405,5.01727983681492,0,3.17805383034795,3.68887945411394,1.09861228866811,0,0,3.76120011569356,0,2.39789527279837,1.94591014905531,3.8286413964891,4.02535169073515,3.36729582998647,1.94591014905531,2.94443897916644,4.40671924726425,1.79175946922805,2.77258872223978,1.6094379124341,0,2.484906649788,2.99573227355399,0,2.484906649788,2.63905732961526,0,3.61091791264422,0,4.53259949315326,0,0,1.09861228866811,1.38629436111989,0,3.80666248977032,1.09861228866811,0,0,0,4.14313472639153,2.63905732961526,0,0,1.6094379124341,4.59511985013459,4.24849524204936,2.63905732961526,0,1.6094379124341,3.29583686600433,3.25809653802148,0,0,0,3.29583686600433,1.94591014905531,2.63905732961526,1
7.53796265976821,6.50279004591562,7.89878235697031,6.66949808985788,8.27842825919907,7.5522372875608,5.82008293035236,7.77233157516961,6.69332366826995,7.48885295573346,6.00635315960173,5.56452040732269,7.36010397298915,6.73221070646721,7.09340462586877,5.59098698051086,5.26785815906333,3.98898404656427,6.98656645940643,4.66343909411207,3.98898404656427,3.80666248977032,2.63905732961526,5.14749447681345,2.77258872223978,5.27811465923052,4.62497281328427,4.24849524204936,5.0998664278242,5.91889385427315,3.78418963391826,5.50125821054473,6.51025834052315,1.94591014905531,2.99573227355399,2.07944154167984,5.37527840768417,6.63987583382654,4.52178857704904,2.19722457733622,3.09104245335832,4.44265125649032,2.63905732961526,3.09104245335832,4.07753744390572,1.79175946922805,0,2.77258872223978,3.46573590279973,0,2.39789527279837,1.09861228866811,4.02535169073515,4.33073334028633,0,1.94591014905531,3.09104245335832,4.59511985013459,0,4.07753744390572,2.99573227355399,2.99573227355399,2.99573227355399,3.2188758248682,0,3.13549421592915,2.07944154167984,0,3.80666248977032,2.39789527279837,4.83628190695148,1.38629436111989,2.63905732961526,1.09861228866811,0,0,3.52636052461616,0,0,0,0,4.23410650459726,1.94591014905531,2.30258509299405,0,2.19722457733622,4.39444915467244,4.44265125649032,3.36729582998647,1.94591014905531,0,3.40119738166216,3.58351893845611,2.07944154167984,0,0,2.77258872223978,2.19722457733622,3.36729582998647,1
7.35755620091035,6.31896811374643,7.58222919427646,6.22257626807137,8.01367414283268,7.21376830811864,5.61677109766657,7.43366654016617,6.55535689181067,7.434847875212,6.04500531403601,5.26269018890489,7.15070145759253,6.5366915975913,7.08757370555797,5.90263333340137,5.29330482472449,3.40119738166216,6.87729607149743,3.98898404656427,3.97029191355212,2.484906649788,3.43398720448515,5.40267738187228,2.99573227355399,4.9272536851572,4.34380542185368,3.68887945411394,5.03695260241363,5.25227342804663,2.77258872223978,6.10255859461357,6.13556489108174,3.04452243772342,3.80666248977032,0,5.08140436498446,6.35437004079735,3.55534806148941,2.07944154167984,1.09861228866811,4.04305126783455,2.56494935746154,2.63905732961526,2.99573227355399,0,0,0,4.07753744390572,0,3.17805383034795,2.83321334405622,2.99573227355399,4.17438726989564,3.09104245335832,1.79175946922805,2.63905732961526,4.52178857704904,1.94591014905531,3.25809653802148,0,1.79175946922805,2.89037175789616,3.78418963391826,1.38629436111989,2.39789527279837,2.07944154167984,0,3.78418963391826,1.79175946922805,4.31748811353631,0,0,0,1.09861228866811,0,3.89182029811063,0,1.6094379124341,2.19722457733622,0,3.8286413964891,2.07944154167984,1.94591014905531,0,0,4.51085950651685,4.00733318523247,1.79175946922805,1.94591014905531,1.09861228866811,3.97029191355212,3.36729582998647,3.2188758248682,0,0,3.29583686600433,0,3.46573590279973,1
7.46278915741245,5.52545293913178,7.50163445788341,6.00635315960173,8.06996814905984,7.55642796944025,5.68357976733868,7.63288550539513,6.73101810048208,7.15305163493748,5.70044357339069,5.11198778835654,7.25981961036319,6.31173480915291,6.70686233660275,5.94017125272043,4.30406509320417,4.23410650459726,6.89162589705225,5.27811465923052,3.8286413964891,4.38202663467388,2.83321334405622,4.98360662170834,2.484906649788,5.0998664278242,3.2188758248682,4.20469261939097,5.21493575760899,5.4249500174814,3.63758615972639,2.83321334405622,6.18208490671663,1.09861228866811,4.21950770517611,2.07944154167984,4.90527477843843,6.38856140554563,4.88280192258637,2.07944154167984,2.39789527279837,2.77258872223978,2.19722457733622,3.09104245335832,0,0,0,2.77258872223978,2.30258509299405,0,3.46573590279973,1.38629436111989,3.58351893845611,3.49650756146648,0,1.79175946922805,2.19722457733622,4.8283137373023,2.77258872223978,4.26267987704132,1.79175946922805,2.56494935746154,2.30258509299405,4.06044301054642,0,3.09104245335832,2.77258872223978,0,2.83321334405622,1.6094379124341,3.89182029811063,0,2.484906649788,1.6094379124341,1.38629436111989,0,0,2.63905732961526,2.484906649788,2.484906649788,0,2.30258509299405,0,2.83321334405622,0,0,2.19722457733622,2.83321334405622,1.09861228866811,1.79175946922805,0,2.56494935746154,0,0,2.39789527279837,0,0,0,2.70805020110221,1
7.45066079621154,5.4510384535657,7.629489916394,6.0591231955818,8.1870210673435,7.57712193087668,5.61312810638807,7.6434829070772,6.77308037565554,7.05875815251866,5.5834963087817,5.16478597392351,7.35115822643069,6.33859407820318,6.73933662735717,5.74300318780948,4.07753744390572,4.0943445622221,6.76619171466035,5.04342511691925,3.63758615972639,4.00733318523247,2.19722457733622,5.14749447681345,2.83321334405622,4.72738781871234,4.46590811865458,3.95124371858143,5.39362754635236,5.65599181081985,3.49650756146648,3.73766961828337,6.25958146406492,3.04452243772342,4.15888308335967,2.89037175789616,5.44673737166631,6.46925031679577,4.89783979995091,1.6094379124341,3.63758615972639,3.87120101090789,2.39789527279837,3.09104245335832,0,1.09861228866811,0,3.13549421592915,2.83321334405622,0,3.58351893845611,0,3.61091791264422,3.04452243772342,2.19722457733622,1.09861228866811,2.07944154167984,4.64439089914137,0,4.20469261939097,1.6094379124341,3.04452243772342,2.99573227355399,4.14313472639153,0,2.484906649788,1.79175946922805,1.6094379124341,3.04452243772342,0,4.11087386417331,1.09861228866811,2.70805020110221,0,0,0,2.77258872223978,3.3322045101752,1.94591014905531,2.30258509299405,0,1.6094379124341,0,3.61091791264422,0,2.30258509299405,1.94591014905531,3.04452243772342,3.29583686600433,0,1.38629436111989,1.38629436111989,0,2.19722457733622,0,0,1.94591014905531,0,0,1
7.83518375526675,5.70044357339069,7.86518795418747,6.43294009273918,8.32360844234357,7.79605797431612,5.64897423816121,7.6425241342329,6.78332520060396,7.11882624906208,5.76832099579377,5.18738580584075,7.4079243225596,6.5424719605068,6.85224256905188,6.54391184556479,3.87120101090789,4.45434729625351,6.95463886488099,5.31320597904179,3.98898404656427,4.4188406077966,2.484906649788,5.6937321388027,3.17805383034795,5.35658627467201,4.57471097850338,4.35670882668959,5.37989735354046,5.77765232322266,3.04452243772342,2.83321334405622,6.42162226780652,1.09861228866811,4.04305126783455,2.39789527279837,5.48479693349065,6.7428806357919,4.61512051684126,1.6094379124341,3.43398720448515,3.40119738166216,0,2.89037175789616,2.19722457733622,2.07944154167984,0,2.70805020110221,3.17805383034795,0,3.85014760171006,1.6094379124341,2.94443897916644,3.63758615972639,2.94443897916644,1.94591014905531,3.04452243772342,4.4188406077966,0,4.44265125649032,0,2.89037175789616,3.49650756146648,3.52636052461616,0,2.89037175789616,0,1.6094379124341,2.30258509299405,0,3.85014760171006,1.6094379124341,2.63905732961526,2.30258509299405,0,0,2.484906649788,3.2188758248682,1.6094379124341,0,0,1.79175946922805,0,3.40119738166216,0,0,2.19722457733622,0,2.83321334405622,1.09861228866811,0,0,2.07944154167984,0,0,0,1.09861228866811,1.38629436111989,1.09861228866811,1
7.79646924308606,6.09582456243222,7.98684490116138,6.73459165997295,8.56293108309009,7.95577578153419,5.76205138278018,8.04590874227078,6.98564181763921,7.36960072052641,6.0282785202307,5.70044357339069,7.722677516468,6.64118216974059,7.30182234213793,6.57368016696065,4.63472898822964,4.77068462446567,7.29369772060144,5.23644196282995,4.45434729625351,4.27666611901606,2.39789527279837,6.07993319509559,3.49650756146648,5.605802066296,4.94875989037817,4.44265125649032,6.08221891037645,6.03787091992214,4.0943445622221,4.70048036579242,6.71295620067707,2.89037175789616,4.87519732320115,3.2188758248682,5.61312810638807,7.02019070831193,5.41164605185504,2.77258872223978,3.17805383034795,3.40119738166216,0,2.89037175789616,3.13549421592915,0,0,2.83321334405622,3.76120011569356,0,3.43398720448515,0,4.30406509320417,4.07753744390572,1.09861228866811,0,2.39789527279837,5.04985600724954,0,4.85203026391962,2.07944154167984,3.36729582998647,3.29583686600433,4.17438726989564,1.6094379124341,3.13549421592915,2.484906649788,1.6094379124341,3.46573590279973,1.94591014905531,4.40671924726425,2.07944154167984,3.09104245335832,0,1.94591014905531,0,3.04452243772342,3.8286413964891,2.99573227355399,0,0,2.99573227355399,2.94443897916644,3.76120011569356,0,0,2.39789527279837,2.56494935746154,3.25809653802148,1.38629436111989,1.94591014905531,3.09104245335832,3.04452243772342,2.19722457733622,2.56494935746154,0,2.19722457733622,1.6094379124341,2.07944154167984,1
7.94803199063728,6.25958146406492,8.07713663853845,6.80461452006262,8.6459381473068,8.0040315078527,6.0137151560428,8.09162741160107,7.2034055210831,7.59940133341582,5.92157841964382,5.4249500174814,7.77485576666552,6.74758652682932,7.19668657083435,6.59167373200866,4.43081679884331,4.55387689160054,7.34148385236316,5.64897423816121,4.29045944114839,4.30406509320417,3.36729582998647,6.0088131854426,4.00733318523247,5.51342874616498,4.98360662170834,4.38202663467388,6.0282785202307,5.99645208861902,4.36944785246702,4.35670882668959,6.67834211465433,3.25809653802148,4.47733681447821,1.79175946922805,5.73979291217923,6.97541392745595,5.12396397940326,2.77258872223978,3.63758615972639,3.58351893845611,3.13549421592915,3.2188758248682,3.17805383034795,3.09104245335832,0,3.17805383034795,3.76120011569356,0,4.00733318523247,3.43398720448515,4.23410650459726,3.80666248977032,3.36729582998647,0,3.17805383034795,5.34710753071747,3.09104245335832,4.9416424226093,0,4.18965474202643,3.40119738166216,4.7361984483945,0,3.17805383034795,1.94591014905531,0,3.8286413964891,2.30258509299405,4.35670882668959,1.38629436111989,2.70805020110221,0,0,0,2.30258509299405,3.46573590279973,3.09104245335832,2.56494935746154,0,3.91202300542815,0,3.63758615972639,1.6094379124341,3.13549421592915,2.484906649788,3.13549421592915,2.484906649788,2.19722457733622,0,3.29583686600433,2.99573227355399,2.30258509299405,2.484906649788,0,2.484906649788,1.6094379124341,2.94443897916644,1
7.76344638872736,6.15909538849193,8.00168997809913,6.76503897678054,8.52595469708481,7.9391588179568,5.96100533962327,7.95402108727804,7.13169851046691,7.39449310721904,6.0137151560428,5.46383180502561,7.67554600253785,6.65157187358973,7.15851399732932,6.38519439899773,4.72738781871234,4.84418708645859,7.2086003379602,5.27811465923052,4.74493212836325,4.29045944114839,2.63905732961526,5.90808293816893,4.27666611901606,5.4380793089232,4.62497281328427,4.46590811865458,6.0591231955818,6.05208916892442,4.0943445622221,4.15888308335967,6.61873898351722,3.58351893845611,4.4188406077966,2.19722457733622,5.67332326717149,6.89060912014717,5.11198778835654,2.39789527279837,3.91202300542815,3.95124371858143,1.94591014905531,3.25809653802148,3.2188758248682,2.07944154167984,0,3.04452243772342,4.20469261939097,0,3.52636052461616,0,3.97029191355212,4.17438726989564,3.17805383034795,1.94591014905531,2.30258509299405,5.03695260241363,3.25809653802148,4.82028156560504,1.6094379124341,3.58351893845611,3.36729582998647,4.04305126783455,0,2.89037175789616,2.30258509299405,0,2.70805020110221,1.6094379124341,4.36944785246702,0,2.70805020110221,0,0,0,3.04452243772342,3.61091791264422,2.89037175789616,0,0,3.17805383034795,2.484906649788,3.49650756146648,0,2.484906649788,1.38629436111989,3.2188758248682,3.17805383034795,3.43398720448515,1.09861228866811,3.09104245335832,1.94591014905531,1.6094379124341,1.09861228866811,1.38629436111989,0,0,0,1
8.2630748358026,6.29341927884648,8.15536212032814,7.04315991598834,8.7509996908987,7.92696354486298,5.94803498918065,8.19505769089508,7.33498187887181,7.89095671613892,6.14846829591765,5.42934562895444,7.7367436824535,7.23128700432762,7.26122509197192,6.45833828334479,5.20948615284142,4.95582705760126,7.48941208350872,5.73334127689775,4.29045944114839,4.97673374242057,3.73766961828337,6.40522845803084,3.49650756146648,5.48063892334199,5.12396397940326,4.47733681447821,6.34212141872115,6.08677472691231,4.27666611901606,4.61512051684126,6.88243747099785,2.39789527279837,3.73766961828337,3.89182029811063,5.78689738136671,7.13568734702814,4.89034912822175,2.83321334405622,3.52636052461616,3.78418963391826,3.52636052461616,3.97029191355212,3.52636052461616,2.484906649788,1.09861228866811,3.04452243772342,3.78418963391826,0,3.85014760171006,2.70805020110221,4.11087386417331,4.69134788222914,2.63905732961526,2.77258872223978,1.94591014905531,4.85203026391962,1.09861228866811,4.8283137373023,1.09861228866811,3.91202300542815,2.484906649788,3.40119738166216,1.6094379124341,2.70805020110221,0,0,3.52636052461616,1.79175946922805,4.07753744390572,2.484906649788,3.43398720448515,0,1.94591014905531,0,2.63905732961526,2.19722457733622,1.79175946922805,1.09861228866811,0,3.17805383034795,2.56494935746154,2.70805020110221,0,1.79175946922805,0,3.3322045101752,2.63905732961526,2.39789527279837,1.6094379124341,2.484906649788,0,1.09861228866811,1.09861228866811,0,2.19722457733622,1.09861228866811,0,1
