"Actinobacteriota","Gemmatimonadota","Proteobacteria","Myxococcota","Nitrospirota","Chloroflexi","Acidobacteriota","Firmicutes","Verrucomicrobiota","Bacteroidota","Bdellovibrionota","Planctomycetota","Patescibacteria","Cyanobacteria","Methylomirabilota","Elusimicrobiota","Latescibacterota","Armatimonadota","Dependentiae","RCP2.54","Fibrobacterota","Desulfobacterota","SAR324.clade.Marine.group.B.","FCPU426","WS2","WPS.2","Deinococcota","NB1.j","Spirochaetota","Sumerlaeota","MBNT15","Abditibacteriota","Zixibacteria","Nanoarchaeota","GAL15","Entotheonellaeota","Hydrogenedentes","Thermoplasmatota","response"
8.42178300661158,6.46614472423762,8.59655874679698,6.7428806357919,5.83773044716594,8.47532898731754,7.82204400818562,6.59441345974978,6.5792512120101,7.69256964806791,4.44265125649032,4.49980967033027,5.99893656194668,5.35658627467201,5.44241771052179,3.13549421592915,4.58496747867057,2.39789527279837,2.77258872223978,3.76120011569356,5.04342511691925,5.6937321388027,0,0,2.63905732961526,2.30258509299405,0,4.40671924726425,3.80666248977032,0,4.26267987704132,0,3.04452243772342,2.63905732961526,2.07944154167984,1.6094379124341,1.6094379124341,0,1
8.59895749321888,6.77650699237218,8.7514744871409,6.92264389147589,6.04263283368238,8.58447793822183,8.03592636989179,6.59167373200866,6.74051935960622,7.61726781362835,4.23410650459726,5.36129216570943,5.98141421125448,5.55295958492162,5.91889385427315,3.52636052461616,4.89783979995091,2.56494935746154,1.94591014905531,4.30406509320417,4.51085950651685,5.73009978297357,0,1.38629436111989,2.30258509299405,1.79175946922805,0,4.20469261939097,3.52636052461616,1.38629436111989,4.39444915467244,0,2.19722457733622,1.94591014905531,0,2.19722457733622,0,0,1
8.43032725839458,6.37842618365159,8.45807992692373,6.80903930604298,5.79605775076537,8.35467426191846,7.80751004221619,6.50279004591562,6.5424719605068,7.53743003658651,4.27666611901606,4.38202663467388,5.76205138278018,6.11809719804135,5.25227342804663,3.2188758248682,4.47733681447821,1.79175946922805,3.04452243772342,3.17805383034795,4.15888308335967,5.68357976733868,0,0,0,1.94591014905531,1.38629436111989,4.15888308335967,3.89182029811063,0,3.91202300542815,0,0,2.07944154167984,0,0,1.09861228866811,0,1
8.40447232135212,6.29526600143965,8.56883642456808,6.83087423464618,5.74300318780948,8.321664807135,7.8578675593318,6.20657592672493,6.34388043412633,7.29573507274928,4.04305126783455,5.73979291217923,6.1246833908942,3.17805383034795,5.4249500174814,3.66356164612965,4.89783979995091,1.79175946922805,1.09861228866811,4.45434729625351,2.77258872223978,4.39444915467244,1.6094379124341,2.07944154167984,1.6094379124341,0,0,4.66343909411207,0,0,3.2188758248682,0,2.484906649788,0,2.89037175789616,0,0,0,1
8.44827174594982,6.37672694789863,8.6447065117152,6.86066367144829,5.68357976733868,8.37816098272068,7.86134179559999,6.15909538849193,6.37842618365159,7.2254814727823,3.98898404656427,5.63835466933375,6.10479323241498,3.87120101090789,5.65599181081985,3.78418963391826,4.97673374242057,1.09861228866811,3.04452243772342,4.27666611901606,3.98898404656427,4.35670882668959,0,0,1.94591014905531,0,0,5.01063529409626,2.77258872223978,1.09861228866811,3.25809653802148,0,2.484906649788,0,2.19722457733622,2.30258509299405,1.38629436111989,0,1
8.65834547117212,6.61069604471776,8.73327184500832,6.8501261661455,5.64897423816121,8.65608519028286,8.12415060330663,6.22851100359118,6.56244409369372,7.23849684089437,4.34380542185368,5.64897423816121,6.26339826259162,3.3322045101752,5.77765232322266,3.55534806148941,4.80402104473326,2.19722457733622,1.09861228866811,4.48863636973214,3.58351893845611,3.76120011569356,0,2.07944154167984,2.63905732961526,0,0,4.54329478227,2.484906649788,1.6094379124341,2.99573227355399,0,1.09861228866811,0,2.94443897916644,0,0,0,1
8.86234196351635,6.95939851213398,9.03109408169916,7.08924315502751,5.79909265446053,8.84130362048157,8.35420356292178,6.63463335786169,6.69579891705849,7.53101633207792,4.77068462446567,6.13556489108174,6.64768837356333,4.8283137373023,6.03787091992214,3.17805383034795,5.33753807970132,0,2.89037175789616,4.82028156560504,3.52636052461616,4.969813299576,0,2.19722457733622,2.94443897916644,1.09861228866811,1.6094379124341,5.14166355650266,3.04452243772342,2.07944154167984,3.76120011569356,0,1.6094379124341,2.94443897916644,2.70805020110221,0,1.94591014905531,0,1
8.90842413949658,7.06304816338817,9.10030226676725,7.27931883541462,6.07534603108868,8.89288614119073,8.39547743273214,6.49526555593701,6.77764659363512,7.75876054415766,4.84418708645859,6.01859321449623,6.77764659363512,4.7361984483945,5.99645208861902,4.48863636973214,5.30330490805908,1.94591014905531,3.25809653802148,4.99721227376411,3.73766961828337,4.99721227376411,1.6094379124341,1.79175946922805,3.25809653802148,1.79175946922805,0,5.21493575760899,2.484906649788,1.38629436111989,4.24849524204936,0,2.30258509299405,0,2.83321334405622,3.13549421592915,0,0,1
8.79573360595074,6.95081476844258,8.97499771320498,7.23345541862144,6.0330862217988,8.79239774235691,8.3150770072941,6.50279004591562,6.68336094576627,7.54750168281497,5.2257466737132,5.93224518744801,6.71052310945243,4.39444915467244,6.05208916892442,4.31748811353631,5.19295685089021,2.19722457733622,3.58351893845611,4.9272536851572,4.11087386417331,4.89783979995091,2.484906649788,2.63905732961526,1.94591014905531,0,0,5.16478597392351,3.04452243772342,0,4.06044301054642,0,2.19722457733622,2.484906649788,2.63905732961526,2.484906649788,1.09861228866811,1.38629436111989,1
9.0590522577624,7.1608459066643,9.204221690968,7.45876269238096,6.0330862217988,8.98869569678571,8.38594490480628,6.60123011872888,7.26892012819372,7.97418866928601,4.65396035015752,6.07993319509559,6.93342302573071,4.85203026391962,6.08677472691231,3.98898404656427,5.31320597904179,3.17805383034795,2.39789527279837,4.70953020131233,3.78418963391826,4.90527477843843,0,2.484906649788,3.61091791264422,0,1.6094379124341,5.09375020080676,2.63905732961526,2.484906649788,3.43398720448515,0,0,2.56494935746154,2.70805020110221,1.79175946922805,1.6094379124341,0,1
8.94611437556074,7.07580886397839,9.11833472618016,7.08422642209792,5.90808293816893,8.86106654351776,8.26590733415575,6.73696695800186,7.14045304310116,7.78364059622125,4.91998092582813,5.61677109766657,6.72262979485545,4.70953020131233,6.19644412779452,4.20469261939097,5.18738580584075,2.30258509299405,3.61091791264422,5.01063529409626,4.21950770517611,4.91265488573605,0,0,3.29583686600433,0,0,5.25227342804663,2.77258872223978,0,3.76120011569356,1.09861228866811,1.94591014905531,1.94591014905531,3.04452243772342,2.19722457733622,1.38629436111989,0,1
9.05017161982336,7.01391547481053,9.04180337015285,7.16006920759613,5.89989735358249,8.8309815109525,8.27052509505507,6.85118492749374,7.02108396428914,7.71824095195932,4.90527477843843,5.89164421182577,6.73696695800186,4.81218435537242,6.12686918411419,3.40119738166216,4.86753445045558,2.484906649788,3.3322045101752,4.90527477843843,3.46573590279973,4.85203026391962,1.79175946922805,0,2.56494935746154,1.79175946922805,0,5.14166355650266,0,0,3.29583686600433,0,2.56494935746154,0,2.83321334405622,2.56494935746154,0,0,1
9.10264379652081,7.0057890192535,9.1204156644482,7.2737863178449,6.14418563412565,8.82805453681542,8.47741232140439,6.99942246750796,6.75110146893676,7.87283617502572,4.99043258677874,6.09356977004514,6.73815249459596,4.46590811865458,5.77765232322266,3.87120101090789,5.19849703126583,0,1.79175946922805,4.99043258677874,3.61091791264422,4.58496747867057,1.09861228866811,1.6094379124341,2.39789527279837,0,0,4.96284463025991,0,0,3.61091791264422,0,0,1.09861228866811,2.77258872223978,2.70805020110221,0,0,1
8.68423189134568,6.38856140554563,8.663714844079,6.90975328164481,5.86078622346587,8.41803561988302,8.10319175228579,6.289715570909,6.4281052726846,7.2034055210831,4.52178857704904,5.78074351579233,6.04500531403601,3.78418963391826,5.57972982598622,3.87120101090789,4.61512051684126,1.6094379124341,2.30258509299405,4.69134788222914,3.25809653802148,3.80666248977032,0,1.09861228866811,2.484906649788,0,1.09861228866811,4.60517018598809,0,1.6094379124341,3.36729582998647,0,2.07944154167984,0,1.79175946922805,0,1.38629436111989,0,0
8.72371943690701,6.52502965784346,8.72078688348573,6.91473089271856,5.69035945432406,8.5131851700187,8.06777619577889,6.49072353450251,6.31896811374643,7.24422751560335,4.18965474202643,5.53733426701854,6.22851100359118,3.58351893845611,5.8171111599632,3.52636052461616,4.94875989037817,0,2.70805020110221,4.54329478227,3.61091791264422,4.61512051684126,1.09861228866811,1.6094379124341,2.484906649788,0,0,4.26267987704132,1.38629436111989,1.09861228866811,3.71357206670431,0,0,1.6094379124341,2.89037175789616,2.39789527279837,0,0,0
8.74893963153771,6.49978704065585,8.74273386733017,6.89060912014717,6.05443934626937,8.54032360880509,8.0487882835342,6.59578051396131,6.33327962813969,7.92262357421729,4.95582705760126,4.34380542185368,6.44571981938558,5.79909265446053,5.91620206260743,4.07753744390572,4.60517018598809,2.30258509299405,1.94591014905531,5.00394630594546,4.30406509320417,6.31173480915291,1.94591014905531,2.484906649788,1.79175946922805,0,0,5.36129216570943,3.58351893845611,0,5.63478960316925,0,2.89037175789616,3.09104245335832,2.19722457733622,2.39789527279837,2.30258509299405,0,0
